name,age,gender,income,state,marital_status,education,employment_status,household_size,owns_home
Denise Walker,58,F,54184,MA,single,master,unemployed,2,True
Anne Abbott,65,F,51868,GA,single,other,retired,1,True
Jamie Mayo,23,F,82314,OR,married,other,employed,5,True
James Robinson,63,M,167853,SD,widowed,bachelor,retired,5,False
Jeffrey Chavez,69,M,26703,AR,married,phd,self_employed,3,True
Theresa Miller,31,F,113236,IN,single,high_school,retired,1,False
Leah Hall,72,F,115165,MT,divorced,high_school,retired,5,True
Anthony Valdez,80,M,124230,WV,single,other,self_employed,6,False
Karla Lewis,54,F,75407,PA,single,high_school,unemployed,3,True
Cynthia Wilson,72,F,86024,FM,single,phd,self_employed,4,False
Brooke Bass,28,F,122040,NE,divorced,bachelor,self_employed,6,True
Gavin Anderson,56,M,69862,OH,married,bachelor,retired,4,False
Dr. Timothy Young,77,M,171001,KY,married,master,employed,2,True
Mrs. Margaret Ross,69,F,107694,RI,widowed,master,employed,2,False
Caleb Mccullough,31,M,155870,WY,widowed,phd,unemployed,3,True
Diane Beck,33,F,172159,NE,divorced,other,retired,5,False
Tina Holmes,41,F,82493,SC,married,other,retired,1,True
Joseph Sims,73,M,53743,AK,married,bachelor,retired,5,True
Tommy Evans,42,M,125039,CO,widowed,other,self_employed,5,True
Joel Williams,61,M,55029,NH,divorced,master,employed,3,False
Christopher Lawson,28,M,143940,ND,single,master,unemployed,5,True
Benjamin Holland,73,M,103235,WV,married,bachelor,self_employed,2,True
Michael Rogers,56,M,109975,MO,widowed,high_school,employed,3,False
Lauren Kennedy,33,F,40184,ME,married,other,employed,1,False
Beth Williams,70,F,43143,IA,married,bachelor,retired,5,True
Jennifer Carlson,34,F,163326,IA,widowed,bachelor,unemployed,6,False
Brooke Ortiz,43,F,122889,GU,widowed,other,retired,1,True
John Torres,32,M,41784,NJ,divorced,high_school,unemployed,5,True
Frank Garcia,18,M,43610,KY,single,bachelor,employed,1,False
Jessica Wolfe,22,F,159782,IA,married,master,retired,2,True
James Weeks,64,M,174695,IA,widowed,bachelor,retired,4,True
Reginald Williams,24,M,50409,NJ,widowed,master,retired,4,False
Michael Santos,73,M,39200,WA,single,high_school,retired,6,False
Annette Schultz,69,F,53644,HI,married,bachelor,unemployed,5,False
Janet Vega,26,F,135593,UT,married,master,retired,2,True
Ronald Foster,46,M,169264,VA,single,high_school,employed,1,True
Elizabeth Burgess,28,F,131539,CO,widowed,phd,unemployed,4,True
Joshua Gibson,28,M,124345,TN,single,phd,self_employed,4,False
Nicholas Mcclure,45,M,170691,TX,widowed,bachelor,unemployed,3,True
William Howard,79,M,40331,OK,single,master,employed,1,False
Pamela Clark,50,F,164231,NC,married,high_school,employed,2,True
Karen Strickland,56,F,42815,NY,married,phd,employed,5,True
Michael Farrell,55,M,35418,DE,single,phd,self_employed,3,True
Maurice Christensen,60,M,107361,AK,married,master,retired,2,False
Pamela Dorsey,47,F,107883,TX,single,high_school,retired,5,True
Mary Tucker,22,F,165937,DE,married,other,self_employed,2,False
Jessica Anderson,74,F,43033,RI,married,master,self_employed,2,False
Thomas Davis,71,M,167401,SC,divorced,other,employed,6,False
Justin Riley,77,M,52154,NV,married,master,employed,1,True
Karen Hernandez,35,F,98860,WY,married,master,unemployed,6,False
Brandon Gregory,50,M,153065,HI,divorced,high_school,employed,6,False
Pamela Lee,71,F,97530,NV,single,high_school,self_employed,2,False
Emily Stokes,28,F,140824,MH,widowed,other,employed,1,True
Anna Lozano,78,F,64073,MH,single,master,unemployed,4,True
Cindy Hernandez,20,F,105808,MT,divorced,high_school,self_employed,2,True
Angela Villegas,60,F,51946,SD,divorced,other,retired,5,True
Melinda Pollard,77,F,87059,NV,married,bachelor,retired,1,True
Cody Holt,65,M,112080,KY,widowed,bachelor,self_employed,2,True
Marcia Cox,42,F,35151,WA,widowed,bachelor,unemployed,4,False
Jasmine Hoffman,37,F,84662,MI,married,high_school,unemployed,4,False
Donna Evans,35,F,43198,NJ,divorced,master,retired,6,False
Rodney Jones,78,M,32235,KY,single,master,unemployed,5,False
Lisa Davis,20,F,53417,UT,widowed,master,self_employed,4,True
Jennifer Marshall,42,F,176149,VA,married,master,employed,6,False
Christopher Ferrell,18,M,161293,MN,married,master,retired,1,False
