name,age,gender,income,state,marital_status,education,employment_status,household_size,owns_home
PSE-180325,PSE-429636,PSE-814134,PSE-369993,PSE-773942,PSE-893468,PSE-422074,PSE-379300,PSE-928872,PSE-238251
PSE-796559,PSE-917721,PSE-814134,PSE-932607,PSE-477202,PSE-893468,PSE-231555,PSE-931024,PSE-638703,PSE-238251
PSE-689113,PSE-545558,PSE-814134,PSE-990714,PSE-105859,PSE-159902,PSE-231555,PSE-229484,PSE-248978,PSE-238251
PSE-494990,PSE-729735,PSE-253533,PSE-622954,PSE-969607,PSE-527878,PSE-273071,PSE-931024,PSE-248978,PSE-510091
PSE-489713,PSE-511675,PSE-253533,PSE-502333,PSE-249373,PSE-159902,PSE-842196,PSE-923739,PSE-240274,PSE-238251
PSE-872737,PSE-339282,PSE-814134,PSE-412182,PSE-636437,PSE-893468,PSE-386851,PSE-931024,PSE-638703,PSE-510091
PSE-177350,PSE-787805,PSE-814134,PSE-651206,PSE-263321,PSE-634989,PSE-386851,PSE-931024,PSE-248978,PSE-238251
PSE-727630,PSE-972257,PSE-253533,PSE-631823,PSE-939719,PSE-893468,PSE-231555,PSE-923739,PSE-356247,PSE-510091
PSE-281322,PSE-337172,PSE-814134,PSE-365277,PSE-764492,PSE-893468,PSE-386851,PSE-379300,PSE-240274,PSE-238251
PSE-184759,PSE-787805,PSE-814134,PSE-120523,PSE-823924,PSE-893468,PSE-842196,PSE-923739,PSE-619673,PSE-510091
PSE-573830,PSE-800875,PSE-814134,PSE-236348,PSE-488871,PSE-634989,PSE-273071,PSE-923739,PSE-356247,PSE-238251
PSE-978059,PSE-335025,PSE-253533,PSE-962702,PSE-520642,PSE-159902,PSE-273071,PSE-931024,PSE-619673,PSE-510091
PSE-762176,PSE-745200,PSE-253533,PSE-476339,PSE-670870,PSE-159902,PSE-422074,PSE-229484,PSE-928872,PSE-238251
PSE-785024,PSE-511675,PSE-814134,PSE-534072,PSE-806286,PSE-527878,PSE-422074,PSE-229484,PSE-928872,PSE-510091
PSE-745728,PSE-339282,PSE-253533,PSE-520396,PSE-862280,PSE-527878,PSE-842196,PSE-379300,PSE-240274,PSE-238251
PSE-807457,PSE-810105,PSE-814134,PSE-804460,PSE-488871,PSE-634989,PSE-231555,PSE-931024,PSE-248978,PSE-510091
PSE-561903,PSE-504424,PSE-814134,PSE-158460,PSE-116053,PSE-159902,PSE-231555,PSE-931024,PSE-638703,PSE-238251
PSE-215302,PSE-763226,PSE-253533,PSE-174456,PSE-697204,PSE-159902,PSE-273071,PSE-931024,PSE-248978,PSE-238251
PSE-855772,PSE-345017,PSE-253533,PSE-348262,PSE-198229,PSE-527878,PSE-231555,PSE-923739,PSE-248978,PSE-238251
PSE-505346,PSE-171328,PSE-253533,PSE-537992,PSE-359138,PSE-634989,PSE-422074,PSE-229484,PSE-240274,PSE-510091
PSE-550316,PSE-800875,PSE-253533,PSE-704010,PSE-846484,PSE-893468,PSE-422074,PSE-379300,PSE-248978,PSE-238251
PSE-433717,PSE-763226,PSE-253533,PSE-541635,PSE-939719,PSE-159902,PSE-273071,PSE-923739,PSE-928872,PSE-238251
PSE-264294,PSE-335025,PSE-253533,PSE-497050,PSE-325461,PSE-527878,PSE-386851,PSE-229484,PSE-240274,PSE-510091
PSE-934087,PSE-810105,PSE-814134,PSE-944042,PSE-817134,PSE-159902,PSE-231555,PSE-229484,PSE-638703,PSE-510091
PSE-803409,PSE-186751,PSE-814134,PSE-244916,PSE-516706,PSE-159902,PSE-273071,PSE-931024,PSE-248978,PSE-238251
PSE-679477,PSE-502320,PSE-814134,PSE-614554,PSE-516706,PSE-527878,PSE-273071,PSE-379300,PSE-356247,PSE-510091
PSE-462172,PSE-912341,PSE-814134,PSE-588019,PSE-309376,PSE-527878,PSE-231555,PSE-931024,PSE-638703,PSE-238251
PSE-840484,PSE-214819,PSE-253533,PSE-526139,PSE-400819,PSE-634989,PSE-386851,PSE-379300,PSE-248978,PSE-238251
PSE-590885,PSE-510198,PSE-253533,PSE-826836,PSE-670870,PSE-893468,PSE-273071,PSE-229484,PSE-638703,PSE-510091
PSE-499072,PSE-733628,PSE-814134,PSE-340277,PSE-516706,PSE-159902,PSE-422074,PSE-931024,PSE-928872,PSE-238251
PSE-505413,PSE-282126,PSE-253533,PSE-958394,PSE-516706,PSE-527878,PSE-273071,PSE-931024,PSE-619673,PSE-238251
PSE-304514,PSE-749454,PSE-253533,PSE-398411,PSE-400819,PSE-527878,PSE-422074,PSE-931024,PSE-619673,PSE-510091
PSE-182922,PSE-763226,PSE-253533,PSE-590503,PSE-577692,PSE-893468,PSE-386851,PSE-931024,PSE-356247,PSE-510091
PSE-599125,PSE-511675,PSE-814134,PSE-568604,PSE-788631,PSE-159902,PSE-273071,PSE-379300,PSE-248978,PSE-510091
PSE-899099,PSE-375360,PSE-814134,PSE-864799,PSE-645413,PSE-159902,PSE-422074,PSE-931024,PSE-928872,PSE-238251
PSE-157435,PSE-827793,PSE-253533,PSE-495019,PSE-939900,PSE-893468,PSE-386851,PSE-229484,PSE-638703,PSE-238251
PSE-872461,PSE-800875,PSE-814134,PSE-356102,PSE-198229,PSE-527878,PSE-842196,PSE-379300,PSE-619673,PSE-238251
PSE-844867,PSE-800875,PSE-253533,PSE-119450,PSE-880964,PSE-893468,PSE-842196,PSE-923739,PSE-619673,PSE-510091
PSE-349083,PSE-621297,PSE-253533,PSE-427310,PSE-778017,PSE-527878,PSE-273071,PSE-379300,PSE-240274,PSE-238251
PSE-668497,PSE-592215,PSE-253533,PSE-843661,PSE-642795,PSE-893468,PSE-422074,PSE-229484,PSE-638703,PSE-510091
PSE-248706,PSE-259095,PSE-814134,PSE-108924,PSE-360869,PSE-159902,PSE-386851,PSE-229484,PSE-928872,PSE-238251
PSE-782278,PSE-335025,PSE-814134,PSE-906543,PSE-471313,PSE-159902,PSE-842196,PSE-229484,PSE-248978,PSE-238251
PSE-730469,PSE-516884,PSE-253533,PSE-588543,PSE-207004,PSE-893468,PSE-842196,PSE-923739,PSE-240274,PSE-238251
PSE-419073,PSE-870951,PSE-253533,PSE-226224,PSE-697204,PSE-159902,PSE-422074,PSE-931024,PSE-928872,PSE-510091
PSE-161127,PSE-117571,PSE-814134,PSE-371961,PSE-778017,PSE-893468,PSE-386851,PSE-931024,PSE-248978,PSE-238251
PSE-973627,PSE-733628,PSE-814134,PSE-598631,PSE-207004,PSE-159902,PSE-231555,PSE-923739,PSE-928872,PSE-510091
PSE-501118,PSE-782666,PSE-814134,PSE-384122,PSE-806286,PSE-159902,PSE-422074,PSE-923739,PSE-928872,PSE-510091
PSE-903808,PSE-543485,PSE-253533,PSE-197718,PSE-116053,PSE-634989,PSE-231555,PSE-229484,PSE-356247,PSE-510091
PSE-710126,PSE-745200,PSE-253533,PSE-699389,PSE-436765,PSE-159902,PSE-422074,PSE-229484,PSE-638703,PSE-238251
PSE-800544,PSE-747515,PSE-814134,PSE-705015,PSE-862280,PSE-159902,PSE-422074,PSE-379300,PSE-356247,PSE-510091
PSE-783908,PSE-259095,PSE-253533,PSE-206986,PSE-788631,PSE-634989,PSE-386851,PSE-229484,PSE-356247,PSE-510091
PSE-275174,PSE-543485,PSE-814134,PSE-353110,PSE-436765,PSE-893468,PSE-386851,PSE-923739,PSE-928872,PSE-510091
PSE-427515,PSE-800875,PSE-814134,PSE-319485,PSE-933824,PSE-527878,PSE-231555,PSE-229484,PSE-638703,PSE-238251
PSE-520048,PSE-696967,PSE-814134,PSE-693479,PSE-933824,PSE-893468,PSE-422074,PSE-379300,PSE-619673,PSE-238251
PSE-548011,PSE-488883,PSE-814134,PSE-757265,PSE-263321,PSE-634989,PSE-386851,PSE-923739,PSE-928872,PSE-238251
PSE-139423,PSE-870951,PSE-814134,PSE-754294,PSE-969607,PSE-634989,PSE-231555,PSE-931024,PSE-248978,PSE-238251
PSE-591912,PSE-745200,PSE-814134,PSE-944884,PSE-436765,PSE-159902,PSE-273071,PSE-931024,PSE-638703,PSE-238251
PSE-238860,PSE-917721,PSE-253533,PSE-791781,PSE-670870,PSE-527878,PSE-273071,PSE-923739,PSE-928872,PSE-238251
PSE-769037,PSE-345017,PSE-814134,PSE-388611,PSE-577692,PSE-527878,PSE-273071,PSE-379300,PSE-619673,PSE-510091
PSE-714743,PSE-377800,PSE-814134,PSE-196966,PSE-483293,PSE-159902,PSE-386851,PSE-379300,PSE-619673,PSE-510091
PSE-930274,PSE-747515,PSE-814134,PSE-653177,PSE-400819,PSE-634989,PSE-422074,PSE-931024,PSE-356247,PSE-510091
PSE-770285,PSE-696967,PSE-253533,PSE-924409,PSE-670870,PSE-893468,PSE-422074,PSE-379300,PSE-248978,PSE-510091
PSE-429978,PSE-488883,PSE-814134,PSE-977638,PSE-645413,PSE-527878,PSE-422074,PSE-923739,PSE-619673,PSE-238251
PSE-970757,PSE-345017,PSE-814134,PSE-307192,PSE-939900,PSE-159902,PSE-422074,PSE-229484,PSE-356247,PSE-510091
PSE-469764,PSE-510198,PSE-253533,PSE-312809,PSE-202355,PSE-159902,PSE-422074,PSE-931024,PSE-638703,PSE-510091
PSE-393242,PSE-664577,PSE-253533,PSE-133671,PSE-686737,PSE-893468,PSE-422074,PSE-923739,PSE-356247,PSE-510091
PSE-914981,PSE-226201,PSE-253533,PSE-227135,PSE-249373,PSE-634989,PSE-231555,PSE-379300,PSE-928872,PSE-510091
PSE-433413,PSE-870951,PSE-253533,PSE-599366,PSE-966352,PSE-159902,PSE-231555,PSE-923739,PSE-619673,PSE-238251
PSE-168708,PSE-377800,PSE-253533,PSE-592122,PSE-309376,PSE-159902,PSE-842196,PSE-923739,PSE-619673,PSE-510091
PSE-522599,PSE-827793,PSE-253533,PSE-433829,PSE-116053,PSE-527878,PSE-273071,PSE-229484,PSE-240274,PSE-510091
PSE-816111,PSE-545558,PSE-814134,PSE-378959,PSE-880740,PSE-634989,PSE-273071,PSE-379300,PSE-928872,PSE-238251
PSE-270524,PSE-488883,PSE-814134,PSE-846809,PSE-477202,PSE-527878,PSE-231555,PSE-229484,PSE-619673,PSE-510091
PSE-516646,PSE-782666,PSE-253533,PSE-514030,PSE-202355,PSE-159902,PSE-842196,PSE-931024,PSE-619673,PSE-238251
PSE-216929,PSE-625687,PSE-814134,PSE-827425,PSE-346668,PSE-893468,PSE-842196,PSE-379300,PSE-928872,PSE-510091
PSE-717829,PSE-185225,PSE-814134,PSE-966889,PSE-249373,PSE-159902,PSE-386851,PSE-931024,PSE-928872,PSE-510091
PSE-528133,PSE-870951,PSE-253533,PSE-385424,PSE-966352,PSE-634989,PSE-842196,PSE-931024,PSE-248978,PSE-510091
PSE-397176,PSE-684861,PSE-814134,PSE-282464,PSE-823924,PSE-527878,PSE-842196,PSE-923739,PSE-928872,PSE-510091
PSE-304218,PSE-665870,PSE-814134,PSE-957608,PSE-880964,PSE-527878,PSE-273071,PSE-923739,PSE-619673,PSE-238251
PSE-608049,PSE-729735,PSE-814134,PSE-671347,PSE-263321,PSE-159902,PSE-422074,PSE-923739,PSE-240274,PSE-238251
PSE-702831,PSE-375360,PSE-814134,PSE-361825,PSE-207004,PSE-159902,PSE-842196,PSE-379300,PSE-356247,PSE-238251
PSE-946274,PSE-733628,PSE-253533,PSE-659673,PSE-105859,PSE-527878,PSE-422074,PSE-931024,PSE-619673,PSE-238251
PSE-493436,PSE-339282,PSE-253533,PSE-563550,PSE-686737,PSE-527878,PSE-231555,PSE-229484,PSE-248978,PSE-510091
