name,age,gender,income,state,marital_status,education,employment_status,household_size,owns_home
sdv-id-PAGaFi,18,M,76702,Indiana,widowed,high_school,self_employed,2,False
sdv-id-hWwNpG,64,F,79173,Michigan,married,master,employed,3,True
sdv-id-YGPizU,63,M,26095,Texas,widowed,bachelor,unemployed,1,False
sdv-id-ZNxaVV,44,M,25672,Illinois,married,master,unemployed,6,False
sdv-id-EWIvgW,65,F,25672,Idaho,divorced,master,employed,5,False
sdv-id-oRePpQ,42,F,65114,Virginia,divorced,phd,self_employed,2,True
sdv-id-nWGwdP,60,F,25672,Wisconsin,single,master,self_employed,5,True
sdv-id-fTpDzl,59,F,41069,Nebraska,widowed,master,self_employed,4,True
sdv-id-SdAXSC,23,M,25672,South Carolina,divorced,master,employed,1,False
sdv-id-poMNxg,32,M,25672,Maryland,widowed,phd,retired,2,False
sdv-id-SjCioZ,54,M,79895,Idaho,married,master,self_employed,2,False
sdv-id-QvFoIb,34,M,46196,Oklahoma,widowed,master,retired,3,False
sdv-id-DtZgZd,30,F,38514,New Hampshire,single,master,retired,2,False
sdv-id-ghCEeT,57,F,60459,Vermont,widowed,master,employed,3,True
sdv-id-sxoDMC,58,F,25672,Nevada,widowed,high_school,employed,2,False
sdv-id-JbVojW,40,M,64277,Rhode Island,married,bachelor,retired,4,False
sdv-id-JwOZpH,33,F,73895,Colorado,widowed,other,retired,5,False
sdv-id-nmZjyX,54,M,131962,Montana,single,master,employed,5,False
sdv-id-AivOUv,56,F,52310,Rhode Island,divorced,other,self_employed,1,False
sdv-id-NRDaLj,27,F,47305,Arizona,single,high_school,self_employed,5,True
sdv-id-bZwaAF,48,M,73428,Oregon,widowed,bachelor,employed,3,False
sdv-id-PHWmdF,62,M,73574,Michigan,married,other,employed,1,True
sdv-id-zIxetF,61,F,88715,Michigan,widowed,other,unemployed,2,True
sdv-id-ZaKgwV,18,M,142746,New Jersey,single,phd,unemployed,5,False
sdv-id-LkGTzi,30,F,25672,Maryland,married,phd,self_employed,1,False
sdv-id-xhKFVq,18,M,45394,North Carolina,married,master,retired,2,False
sdv-id-zfquWn,68,F,69972,Kentucky,married,phd,unemployed,5,True
sdv-id-EiwjdM,18,M,89794,Montana,widowed,bachelor,self_employed,6,False
sdv-id-pDZtDd,18,M,50096,Indiana,single,phd,unemployed,5,False
sdv-id-HwmSim,18,M,25672,Illinois,married,bachelor,unemployed,6,False
sdv-id-krRNAu,59,F,74273,Ohio,divorced,bachelor,unemployed,2,False
sdv-id-tFwhEw,18,F,38874,Maine,married,master,retired,6,True
sdv-id-jbIAYW,69,M,25672,New York,widowed,phd,self_employed,3,False
sdv-id-ImVEEI,30,F,25672,Kansas,widowed,high_school,self_employed,3,False
sdv-id-PRUpfs,18,M,68810,Washington,divorced,other,self_employed,6,False
sdv-id-kegzZP,49,M,25672,Colorado,divorced,other,unemployed,5,True
sdv-id-tEUOaf,37,F,124216,Alabama,divorced,bachelor,retired,2,False
sdv-id-VxYwUL,62,F,115494,Florida,married,master,self_employed,3,True
sdv-id-qkfGsk,74,M,30261,Pennsylvania,divorced,high_school,unemployed,6,False
sdv-id-TqzUUW,53,M,178449,Nevada,single,other,retired,4,True
sdv-id-IGLkkx,57,M,25672,Kentucky,single,master,self_employed,5,True
sdv-id-WaOfzo,32,M,38240,Minnesota,married,other,employed,6,False
sdv-id-iCXBiU,34,F,67305,Maryland,single,phd,employed,6,False
sdv-id-NNykFQ,18,M,161227,Kentucky,married,bachelor,self_employed,3,False
sdv-id-FwOdmh,35,F,25672,New Jersey,single,other,employed,4,False
sdv-id-amkuBG,27,M,25672,Maine,single,master,unemployed,4,False
sdv-id-VJctHB,74,M,25672,Utah,widowed,high_school,unemployed,6,False
sdv-id-OBmMCm,41,M,25672,Maine,married,bachelor,self_employed,3,True
sdv-id-wLLEhl,18,F,25672,Florida,divorced,phd,self_employed,2,False
sdv-id-HjyEDM,57,M,97972,Michigan,married,bachelor,unemployed,3,False
sdv-id-JMVZRW,39,F,25672,Indiana,married,high_school,self_employed,1,False
sdv-id-ANnxir,64,M,37774,Oregon,divorced,other,unemployed,2,True
sdv-id-sBmjVT,31,F,88475,Oregon,divorced,phd,retired,4,False
sdv-id-juoKin,18,M,166147,California,single,phd,retired,2,False
sdv-id-SnJDgX,44,F,25672,Texas,divorced,bachelor,employed,6,True
sdv-id-UaEDLR,18,M,89880,Georgia,single,bachelor,retired,1,False
sdv-id-TpYQRB,42,M,29919,Oklahoma,single,bachelor,retired,1,False
sdv-id-OoPpuS,80,F,39324,Michigan,widowed,bachelor,retired,6,False
sdv-id-zifthe,18,M,42157,Utah,divorced,master,unemployed,1,False
sdv-id-PxAPWs,80,M,48759,Massachusetts,divorced,other,self_employed,5,False
sdv-id-CibFbl,55,F,25672,Ohio,widowed,high_school,employed,2,False
sdv-id-XIELAf,20,M,25672,Colorado,single,bachelor,employed,3,True
sdv-id-nyEePQ,21,F,42906,Georgia,divorced,high_school,employed,2,False
sdv-id-ODtlOb,18,M,25672,Georgia,divorced,master,self_employed,4,False
sdv-id-mQWddW,29,M,25672,Rhode Island,divorced,phd,self_employed,4,True
sdv-id-sUGNTw,18,F,25672,Vermont,single,phd,employed,5,False
sdv-id-GmCjOq,18,M,25672,Illinois,widowed,bachelor,retired,5,False
sdv-id-jXzalN,18,M,178449,Connecticut,widowed,master,unemployed,2,False
sdv-id-lKMMul,45,M,144417,Arkansas,divorced,high_school,employed,5,False
sdv-id-qRhjlX,30,F,118395,Minnesota,single,high_school,unemployed,4,False
sdv-id-ngrwIF,51,F,33118,Ohio,single,bachelor,unemployed,3,True
sdv-id-NHOkOd,39,F,25672,Arkansas,single,bachelor,retired,5,True
sdv-id-ebwwNw,80,F,25672,Maine,divorced,master,self_employed,2,False
sdv-id-rIiaon,28,F,42879,Oregon,married,high_school,employed,4,True
sdv-id-MhduAa,49,M,43506,Nevada,single,high_school,retired,3,False
sdv-id-ktvERN,59,M,25672,Arizona,divorced,other,self_employed,4,True
sdv-id-QVnBYt,54,M,126608,Indiana,married,high_school,retired,1,False
sdv-id-ermTND,41,F,51302,Ohio,single,phd,retired,5,False
sdv-id-AvbKEX,54,M,35794,Georgia,single,master,retired,6,False
sdv-id-nXbLFb,33,M,50476,California,married,high_school,employed,6,True
sdv-id-uUJTCl,27,F,55380,Nevada,divorced,phd,unemployed,1,False
sdv-id-lxwofz,64,F,25672,Connecticut,widowed,phd,employed,2,False
sdv-id-rnwFZq,80,F,59501,North Carolina,widowed,bachelor,self_employed,5,False
sdv-id-DDWdae,18,M,25672,Oregon,widowed,high_school,self_employed,4,False
sdv-id-ddlKwU,45,M,25672,Washington,divorced,bachelor,self_employed,3,True
sdv-id-woHhiV,80,M,25672,West Virginia,married,other,retired,1,False
